,per,pbr,roe,revenue_growth
AESE,NA,0.87,-96.93,-37.6
AEY,NA,1.54,-76.5,-31.5
AEYE,NA,735.98,-658.35,116.9
AEZS,NA,24.91,NA,-64.9
AFIB,NA,NA,NA,54.5
AFIN,NA,0.41,-1.54,-5.3
AFINP,NA,NA,-1.54,-5.3
AFMD,NA,6.24,-121.08,-26.8
AFYA,54.46,5.35,14.45,53.6
AGBA,NA,1.34,NA,NA
AGEN,NA,NA,NA,71.5
AGFS,NA,0.42,-14.58,-5.7
AGIO,NA,4.44,-62.18,42.4
AGLE,NA,2.4,-66.08,NA
AGMH,NA,38.68,-20.27,11.6
AGNC,15.26,0.89,-8.08,NA
AGNCM,NA,NA,-8.08,NA
AGNCN,NA,NA,-8.08,NA
AGRX,NA,3.34,-56.16,NA
AGTC,NA,1.95,-61.3,-100
AGYS,NA,8.81,-31.97,-22.4
AHCO,NA,276.47,NA,87
AHPI,NA,2.31,-29.03,10.7
AIH,8.68,2.42,-53.59,-21.4
AIHS,NA,42.18,-167.38,-77.1
AIKI,2.04,0.64,-61.06,NA
AIMC,13.59,1.46,-1.73,-14.1
AIMT,NA,12.55,-149.17,NA
AINV,17.03,0.54,-11.96,-14.8
AIRG,88.11,2.91,-4.26,-20.9
AIRT,152.2,1.18,-6.18,-21.7
AIRTP,NA,NA,-6.18,-21.7
AKAM,33.55,4.61,14.85,12.7
AKBA,NA,1.46,-86.68,-10.6
AKCA,40.59,3.85,NA,NA
AKER,NA,1.29,-92.11,NA
AKRO,8.31,9.49,-45.23,NA
AKTS,NA,7.15,-107.16,-46.1
AKTX,NA,16.23,"-2,252.25",NA
AKU,70,1.78,4.38,-0.7
AKUS,NA,1.91,NA,NA
ALAC,541.69,20.06,NA,NA
ALACU,NA,NA,NA,NA
ALBO,NA,7.31,-78.84,53
ALCO,10.06,1.16,11.77,-54.6
ALDX,NA,5.02,-82.02,NA
ALEC,NA,2.16,-49.12,-54.2
ALGN,15.64,9.32,80.65,-41.3
ALGT,12.73,2.87,-2.81,-72.9
ALIM,NA,NA,NA,-7.5
ALJJ,NA,2.57,-155.1,13.2
ALKS,NA,2.57,-11.73,-11.6
ALLK,NA,8.92,-37.87,NA
ALLO,NA,4.16,-24.98,NA
ALLT,NA,2.73,-6.83,23.5
ALNA,NA,3.22,-139.91,NA
ALNY,NA,11.93,-53.61,132.5
ALOT,107.71,0.78,-0.63,-17.4
ALPN,NA,12.78,-107.3,21.3
ALRM,54.12,7.55,15.56,16.4
ALRN,NA,4.64,-112.02,NA
ALRS,12.15,1.23,13.03,18
ALSK,11.42,0.63,5.51,3.6
ALT,3.47,5.37,-52.58,-55.6
ALTA,9.61,1.19,13.26,2.2
ALTM,NA,2.34,-85.98,31
ALTR,NA,9.51,-6.05,-7.7
ALVR,NA,17.85,NA,NA
ALXN,33.1,2.59,8.19,20.1
ALXO,NA,NA,NA,-59.3
ALYA,NA,1.78,-31.51,-2.1
AMAG,NA,1.89,-69.13,-32.2
AMAL,8.29,0.73,9.22,-2.6
AMAT,18.46,6.06,36.03,23.4
AMBA,NA,4.31,-10.71,-11.2
AMCI,NA,1.45,NA,NA
AMCIU,NA,NA,NA,NA
AMCX,6.69,1.86,23.12,-16.3
AMD,159.94,29.55,23.4,26.2
AMED,58.18,10.12,20.15,-1.6
AMEH,30.98,3.18,22.67,27
AMGN,19.18,12.91,68.05,5.7
AMHC,NA,NA,NA,NA
AMKR,11.42,1.49,13.93,31
AMNB,8.17,0.76,9.43,-21.7
AMOT,26.4,3.22,12.67,-6.4
AMPH,262,2.5,0.88,8.6
AMRB,9.91,0.7,7.3,7.5
AMRH,NA,0.59,-49.24,-25.1
AMRK,8.68,2.6,35.49,95.9
AMRN,NA,3.36,-3.33,34.3
AMRS,NA,NA,NA,-52.1
AMSC,NA,6.29,-22.96,54.1
AMSF,12.24,2.39,19.76,-3
AMST,NA,29.2,-172.15,NA
AMSWA,66.13,4.09,6.49,-0.4
AMTB,33.38,0.54,1.65,-74.7
AMTBB,25,0.41,1.65,-74.7
AMTI,NA,6.75,NA,NA
AMTX,NA,NA,NA,-5.5
AMWD,24.46,2.19,9.39,-8.7
AMYT,NA,4.91,NA,893.4
AMZN,122.62,21.68,20.79,40.2
ANAB,NA,1.72,-19.55,NA
ANAT,7.46,0.31,2.76,-67.1
ANCN,NA,1.05,-119.78,NA
ANDA,NA,0.89,8.4,NA
ANDAU,NA,NA,8.4,NA
ANDE,34.05,0.79,-2.91,-18.7
ANGI,226.2,4.34,1.65,9.1
ANGO,NA,0.96,-31.76,6.3
ANIK,49.18,1.89,4.2,0.9
ANIP,86.6,1.88,-10.17,-10.8
ANIX,NA,7.29,-147.19,NA
ANNX,NA,29.47,-63.39,NA
ANPC,NA,10.91,NA,3.4
ANSS,76.03,8.73,12.72,4.6
ANTE,NA,0.58,NA,33.5
ANY,NA,NA,NA,-7.5
AOSL,259.48,1.47,-4.17,9.4
AOUT,NA,0.92,NA,51.9
APA,NA,2.82,-186.63,-52.1
APDN,NA,4.91,-290.04,-79
APEI,35.49,1.56,4.31,16.4
APEN,NA,5.37,-867.87,-60.4
APEX,NA,1.48,-151.43,-21.8
APHA,57.5,0.98,-4.74,18.4
API,327.79,6.59,NA,127.5
APLS,NA,11.52,-240.56,NA
APLT,NA,4,-80.81,NA
APM,NA,4.69,-84.08,36.5
APOG,14.31,1.28,9.27,-10.5
APOP,NA,1.35,-101.81,NA
APPF,189.05,38.59,23.33,27.4
APPN,NA,18.71,-27.45,2.3
APPS,131.38,37.41,40.92,93.1
APRE,NA,5.47,-57.64,NA
APTO,NA,6.31,-74.05,NA
APTX,NA,1.51,-46.04,-47
APVO,NA,2.61,-223.37,-93.6
APWC,NA,0.15,0.63,-19.2
APXT,NA,NA,NA,NA
APYX,NA,2.99,-22.31,-35.4
AQB,NA,7.04,-42.5,-93.1
AQMS,NA,1.41,-57.76,NA
AQST,NA,NA,NA,94.8
ARAV,NA,1.37,-46.84,NA
ARAY,78,4.47,6.74,-19.1
ARCB,32.38,1.16,3.76,-18.7
ARCC,140.1,0.88,0.63,-8.4
ARCE,NA,7.2,-3.34,70.7
ARCT,NA,14.44,-66.87,-77.1
ARDS,2.83,6.76,"-1,000.79",NA
ARDX,NA,3.48,-84.35,"10,100.00"
AREC,0.23,3.07,NA,-97.6
ARGX,NA,6.7,-28.35,-31.7
ARKR,11.43,1.12,-9.17,-83.9
ARLP,2.16,0.34,-10.51,-50.6
ARNA,6.4,3.83,-28.34,NA
AROW,11.3,1.32,12.32,2.9
ARPO,NA,1.34,-8.46,NA
ARQT,NA,5.01,-74.61,NA
ARTL,NA,2.94,-266.31,NA
ARTNA,21.49,2.13,10.21,5.3
ARTW,NA,1.06,-16.47,17.5
ARVN,NA,4.74,-54.53,43.1
ARWR,67.15,10.24,-6.8,-35.9
ARYA,NA,NA,NA,NA
ARYB,NA,NA,NA,NA
ASLN,NA,5.8,-769.78,NA
ASMB,NA,1.9,-32.35,"1,178.40"
ASML,41.44,10.03,25.86,32.5
ASND,NA,14.95,-45.78,-55.3
ASPS,NA,0.97,-312.11,-51.5
ASPU,NA,5.87,-13.21,46.4
ASRT,NA,0.9,-129.29,-64
ASRV,9.52,0.49,5.08,0.6
ASTC,NA,20.71,-498.71,88.5
ASTE,90.34,2.12,2.32,-13
ASUR,NA,0.97,-33.13,-18.3
ASYS,43.45,1.08,-1.07,-27.5
ATAX,10.38,0.7,6.47,12.1
ATCX,NA,1.38,-25.63,-8.9
ATEC,NA,40.79,-169.87,8.5
ATEX,NA,2.64,-21.22,-43.5
ATHA,NA,7.06,NA,NA
ATHE,NA,6.57,-113.53,NA
ATHX,NA,5.75,-114.86,-98
ATIF,182,6.37,-66.96,-76.4
ATLC,6.29,9.29,57.68,792.7
ATLO,11.31,0.91,8.49,11.2
ATNI,NA,1.15,1.23,1.3
ATNX,NA,8.6,-80.4,81
ATOM,NA,11.17,-75.24,NA
ATOS,NA,2.71,-98.41,NA
ATRA,NA,2.73,-98.26,NA
ATRC,NA,4.39,-15.22,-30.7
ATRI,34.72,5.15,15.33,-5.3
ATRO,11.4,0.82,-32.16,-34.6
ATRS,84.82,9.56,11.24,13.9
ATSG,27.76,3.3,21.34,12.9
ATVI,34.45,4.55,14.13,38.4
ATXI,NA,15.92,-119.82,NA
AUB,13.37,0.73,5.73,-15.2
AUBN,16.15,1.28,8.38,-6.7
AUDC,132.36,5.63,5.6,8.1
AUPH,NA,7.45,-77.6,0
AUTL,NA,2.47,-29.62,NA
AUTO,NA,3.32,-49.99,-37.2
AUVI,63.7,27.58,NA,-34.5
AVAV,51.77,3.43,6.85,0.6
AVCO,NA,19.92,-232.66,-25.5
AVCT,NA,6.06,NA,NA
AVDL,20.15,1.74,22.4,-42.5
AVEO,85.2,3.27,-14.97,6.5
AVGO,71.04,6.5,11.02,5.5
AVGR,0.1,3.35,-224.34,-36.8
AVID,26.03,NA,NA,-19.7
AVNW,444.8,1.76,0.37,-2.5
AVO,26.87,2.41,NA,-16.6
AVRO,NA,2.38,-56.92,NA
AVT,29.49,0.76,-0.75,-11.1
AVXL,NA,11.8,-122.52,NA
AWH,NA,47.53,-142.92,-34.7
AWRE,44.33,1.19,-21.48,-37.3
AXAS,0.58,0.42,-85.9,-94.3
AXDX,NA,NA,NA,17.7
AXGN,NA,4.62,-22.43,-17.2
AXGT,NA,2.77,-120.92,NA
AXLA,NA,1.98,-67.7,NA
AXNX,NA,6.37,-39.85,922.4
AXSM,NA,17.95,-106.15,NA
AXTI,NA,1.43,-0.58,-10.7
AY,186.06,2.24,1.56,-6.5
AYLA,NA,3.08,NA,22.7
AYRO,NA,NA,NA,-27.8
AYTU,NA,1.38,-26.68,766.1
AZN,64.09,11.27,14.24,7.8
AZPN,41.02,18.46,50.89,1.8
AZRX,NA,8.72,"-1,435.03",NA
AZYO,NA,NA,NA,-6.4
BAND,617.3,14.58,-8.48,35.2
BANF,14.56,1.37,11.27,-10.4
BANR,11.08,0.77,7.23,-14.3
BANX,14.47,0.94,-0.02,-0.6
BASI,NA,6.17,-26.61,45.2
BATRA,20.89,2.91,-4.41,-94.7
BATRK,20.64,2.86,-4.41,-94.7
BBBY,NA,1.84,-10.46,-1.2
BBCP,5.51,0.84,-18.27,-1.9
BBGI,35.05,0.15,-7.22,-53.7
BBI,NA,1.25,NA,-76.4
BBIO,NA,18.08,-145.59,NA
BBQ,6.84,1.33,17.9,28.2
BBSI,9.67,2.39,28.23,-13
BCBP,9.93,0.59,6.75,-26.3
BCDA,NA,3.92,-611.71,-68.6
BCEL,4.57,3.5,-40.96,NA
BCLI,NA,16.84,"-1,086.85",NA
BCML,9.42,0.59,6.61,-1.4
BCOR,14.49,1.31,-57.25,-16.8
BCOV,NA,6.7,-26.58,0.7
BCOW,30.89,0.77,2.39,34.9
BCPC,41.41,4.26,10.75,7.3
BCRX,NA,8.98,-345.9,98.3
BCTG,NA,NA,NA,NA
BCYC,1.92k,5.22,-42.52,3.2
BDGE,8.08,0.77,9.84,1.8
BDSI,53.71,4.48,7.67,23.3
BDTX,NA,3.53,-24.62,NA
BEAM,NA,7.86,-59.57,0
BEAT,85.38,4.03,5.27,-12.7
BECN,NA,1.49,-5.8,-6.9
BEEM,NA,23.49,-62.57,-11.3
BELFA,NA,0.77,-6.36,-4.9
BELFB,NA,0.8,-6.36,-4.9
BFC,15.6,1.8,12.86,44.3
BFIN,9.46,0.64,7.03,17.7
BFRA,196.44,30.27,-146.86,35.9
BFST,12.86,0.86,5.37,31.9
BGCP,47.33,1.46,4.4,-6.4
BGFV,14.37,1.06,7.35,-5.4
BGNE,NA,10.87,-67.89,-73
BHAT,4.15,0.69,18.95,-17.8
BHF,1.25,0.14,13.85,NA
BHFAP,NA,NA,13.85,NA
BHTG,NA,NA,-182.41,21.2
BIDU,90.21,1.91,-1.09,-1.1
BIGC,NA,NA,NA,33.3
BIIB,8.42,4.01,49.38,1.8
BILI,NA,12.71,-21,70.2
BIMI,NA,2.25,-42.69,-26.2
BIOC,NA,2.41,-133.91,-23
BIOL,NA,21.97,-774.75,-66
BIVI,NA,13.99,NA,NA
BJRI,13.11,2.33,-4.72,-57.5
BKCC,NA,0.55,-25.25,-11
BKEP,NA,NA,NA,-43.2
BKEPP,NA,NA,NA,-43.2
BKNG,29.06,17.43,54.67,-83.6
BKSC,13.64,1.69,13.18,-3.9
BKYI,NA,37.56,-368.15,-57.8
BL,NA,14.02,-9.76,19.5
BLBD,27.25,NA,NA,-38.7
BLCM,NA,35.95,"-6,120.17",NA
BLCT,NA,NA,NA,32.2
BLDP,NA,16.5,-16.14,9.2
BLDR,19.31,4.36,25.58,2.2
BLFS,38.19,8.43,25.22,48
BLI,NA,50.1,NA,-10.2
BLIN,0.72,3.19,-0.69,-2.3
BLKB,126.22,7.01,5.71,2.8
BLMN,36.12,72.41,-93.92,-43.4
BLNK,NA,54.65,-127.3,119.7
BLPH,NA,1.65,-52.9,NA
BLRX,NA,1.09,-76.67,NA
BLU,NA,1.23,-45.78,-33.3
BLUE,NA,2.18,-39.38,"1,395.90"
BMCH,24.63,2.79,12.13,3.5
BMRA,NA,4.84,-25.71,133.7
BMRC,13.14,1.23,9.76,-7.2
BMRN,116.54,4.44,3.95,10.8
BMTC,15.03,0.9,6.13,-2.8
BNFT,NA,NA,-925.28,-9.3
BNGO,NA,14.3,"-1,464.01",-45.7
BNR,NA,7.12,NA,26.1
BNSO,61.62,1.63,2.66,99.2
BNTC,51.55,1.22,-61.67,NA
BNTX,NA,30.46,-46.63,62
BOCH,10.24,0.79,8.16,-7.9
BOKF,10.47,0.77,7.72,-17
BOMN,NA,1.24,-4.7,13.3
BOOM,17.08,2.98,0.08,-61.1
BOSC,NA,0.97,-19.83,-14.9
BOTJ,9.32,0.69,7.78,3.3
BOXL,NA,8.25,-94.92,-27.5
BPFH,13.72,0.64,4.79,-26.7
BPMC,NA,9.54,-67.29,63.3
BPOP,7.49,0.58,8.59,-12.9
BPRN,10.76,0.69,6.77,10.5
BPTH,NA,0.95,-58.93,NA
BPY,10.23,0.45,1.25,-76.2
BPYPP,NA,NA,1.25,-76.2
BPYU,2.04,0.54,14.39,-10
BRID,24.85,2.32,9.39,-2.7
BRKL,15.81,0.79,5.1,-2.5
BRKR,40.18,7.2,18.36,-13.4
BRKS,90.93,3.2,4.31,8.1
BRLI,NA,NA,NA,NA
BROG,70.72,8.08,-82.28,0
BRP,1.39k,9.77,-17.9,55.1
BRPA,535.5,7.99,3.9,NA
BRPAU,NA,NA,3.9,NA
BRQS,1.8,2.22,NA,NA
BRY,11.08,0.32,-15.45,-47
BSBK,67.03,0.81,1.53,8.9
BSET,NA,1.13,-13.1,-16.3
BSGM,NA,5.19,-240.88,NA
BSQR,NA,2.15,-39.61,-37.1
BSRR,7.99,0.83,11,-2.7
BSTC,24.42,3.44,15.22,-55.9
BSVN,10.99,0.86,8.04,-0.4
BSY,83.25,NA,NA,9.2
BTAI,NA,21.42,-136.53,NA
BTAQ,NA,NA,NA,NA
BTAQU,NA,NA,NA,NA
BTBT,NA,46.15,-119.72,-99.1
BUSE,10.12,0.77,7.75,-13.1
BVXV,NA,11.71,NA,NA
BWAY,NA,3.2,-36.4,-15.4
BWB,10.02,1.2,12.92,15.5
BWEN,NA,1.75,-2.46,33.4
BWFG,11.89,0.71,5.84,-28.9
BWMX,28.23,27.56,159.93,82.1
BXRX,NA,NA,NA,NA
BYFC,NA,1,-0.34,20.5
BYND,710.96,29.6,-1.31,68.5
BYSI,NA,14.45,-814.58,NA
BZUN,44.79,6.3,11.84,26.3
CAAS,44.14,0.34,0.06,-21.3
CABA,NA,2.14,-25.61,NA
CAC,9.03,0.95,11.12,-8
CACC,19.72,3.02,15.88,-28.4
CAKE,9.9,3.99,-23.33,-50.9
CALA,NA,2.08,-61.46,NA
CALB,22.37,0.78,3.54,-20.2
CALM,41.79,1.89,4.61,21.4
CALT,NA,4.53,-19.02,NA
CAMP,NA,2.33,-55.81,-10.4
CAMT,43.55,4.89,12.1,7.7
CAN,NA,3.23,-104.01,-26.3
CAPR,NA,3.03,-50.83,-87.8
CAR,9.92,7.14,-276.23,-67.5
CARA,NA,4.45,-96.01,8.2
CARE,9.22,0.38,4.21,-12.9
CARG,59.24,8.6,16.74,-34.7
CARV,NA,7.59,-10.27,4.3
CASA,NA,9.27,-65.9,60
CASH,7.43,0.96,14.11,-13.3
CASI,NA,3.23,-39.94,NA
CASS,22.52,2.46,11.27,-14.5
CASY,23.01,3.89,18.43,-21.5
CATB,NA,2.35,-64.92,NA
CATC,14.79,1.07,6.55,-14.6
CATM,25.21,2.95,11.14,-31.6
CATY,7.76,0.8,10.63,-19.9
CBAN,13.23,0.87,6.86,3.4
CBAT,NA,16.04,-87,8.3
CBAY,NA,3.43,-39.59,NA
CBFV,9.18,0.72,8.12,3.3
CBIO,NA,1.17,-47.13,NA
CBLI,NA,NA,-78.98,-77.2
CBMB,64.55,0.91,1.34,3.2
CBMG,NA,11,-93.51,NA
CBNK,8.11,0.97,13.01,34.2
CBPO,30.03,2.47,9.38,-18.1
CBRL,411.9,6.63,-6.35,-37.1
CBSH,22.17,2.03,9.36,-27.9
CBTX,12.81,0.84,6.74,-27.4
CCAP,16.45,0.71,-1.5,54.4
CCB,12.36,1.24,10.92,15.2
CCBG,11.6,1.05,10.61,40.8
CCCC,NA,8.44,NA,111.2
CCCL,0.1,0.29,56.92,-77.6
CCD,36.8,1.16,NA,NA
CCLP,NA,4.12,-133.42,-29
CCMP,55.14,4.49,8.36,1
CCNC,NA,1.07,-1.21,-83.2
CCNE,6.64,0.84,12.29,-4.7
CCOI,75.08,NA,NA,4.6
CCRC,5.92,1.19,22.18,32.8
CCRN,NA,1.91,-12.18,6.9
CCXI,NA,9.43,-12.1,589.3
CD,NA,10.18,NA,130
CDEV,31,0.07,-17.96,-62.9
CDK,18.64,NA,NA,-8
CDLX,NA,16.81,-42.5,-42.1
CDMO,NA,9.74,-5.35,66.5
CDMOP,NA,NA,-5.35,66.5
CDNA,NA,9.68,-10.72,32.9
CDNS,31.94,14.33,55.13,10
CDTX,NA,3.12,-127.41,NA
CDW,25.43,17.56,74.74,-5.7
CDXC,NA,14.28,-139.78,37.7
CDXS,NA,8.45,-14.77,21.5
CDZI,NA,NA,NA,33.3
CECE,16.29,1.39,8.91,-7.4
CELC,NA,3.62,-43.09,NA
CELH,2.14k,22.29,4.05,86.3
CEMI,NA,2.51,-61.54,-48.3
CENT,21.51,2.22,10.49,18
CENTA,19.46,2.01,10.49,18
CENX,NA,1.08,-8.11,-15
CERC,NA,3.61,-127.56,-3.9
CERN,44.43,5.61,11.86,-7
CERS,NA,9.33,-73.52,18.1
CETV,16.32,3.34,17.67,-26.2
CETX,NA,0.54,-37.75,-22.8
CETXP,NA,NA,-37.75,-22.8
CEVA,609.37,3.81,0.63,28.3
CFB,90.09,0.85,1.12,-32.4
CFBI,141,0.7,-0.13,65.5
CFBK,4.4,0.91,24.69,195.3
CFFA,194.65,1.3,45.01,NA
CFFAU,NA,NA,45.01,NA
CFFI,6.58,0.62,9.7,5.4
CFFN,22.56,1.23,5.23,-10.9
CFMS,NA,6.99,-143.36,-0.6
CFRX,18.8,10.4,-348.74,NA
CG,8.09,4.86,-10.17,6.6
CGBD,7.74,0.59,-4.93,-20.4
CGEN,NA,10.1,-32.65,NA
CGIX,NA,2.16,-152.31,-5.2
CGNX,86.1,8.66,11.01,-15
CGO,10.63,1.19,-10.67,-21.4
CGRO,NA,NA,NA,NA
CHCI,8.28,6.14,26.62,21.1
CHCO,10.45,1.36,13.86,-13.3
CHDN,50.68,21.39,-6.12,-61.2
CHEF,43.21,1.56,-5.42,-51.3
CHEK,NA,1.11,-96.4,NA
CHFS,0.56,2.4,-193.47,11.1
CHI,9.21,1.09,-0.81,-6.8
CHKP,22.6,5.25,23.63,3.6
CHMA,NA,4.46,-109.1,NA
CHMG,11.74,0.86,7.76,1.9
CHNG,NA,1.41,-44.33,NA
CHNR,NA,NA,NA,389.5
CHPM,NA,NA,NA,NA
CHRS,7.6,6.06,172.76,62.6
CHRW,29.14,7.93,27.83,-7.2
CHTR,61.06,4.45,6.62,3.1
CHUY,27.11,2,-5.14,-41.9
CHW,10.66,1.16,-9.15,-20.6
CHY,9.43,1.09,-0.38,-3.6
CIDM,NA,NA,NA,-38.6
CIGI,37.72,5.48,13.34,-26.2
CIH,3.32,5.79,"1,901.37",12.1
CIIC,NA,NA,NA,NA
CINF,23.67,1.37,6.06,41.9
CIVB,7.8,0.67,9.05,-5.2
CIZN,19.09,0.99,5.5,27.3
CJJD,69,1.16,-17.4,22.8
CKPT,NA,11.68,-197.97,-96
CLAR,32.34,2.25,7.58,-36.1
CLBK,27.2,1.35,4.84,20.3
CLBS,NA,0.97,-22.9,NA
CLCT,52.28,22.98,49.07,3.6
CLDB,9.23,0.86,9.73,0.1
CLDX,NA,2.53,-26.15,-67
CLEU,81.86,6.92,8.4,0.4
CLFD,49.49,3.82,8.03,18.6
CLGN,NA,8.21,-295.81,35.8
CLIR,NA,11.61,-74.36,NA
CLLS,NA,2.67,-21.34,57.4
CLMT,17.11,24.98,-138.46,-49.4
CLNE,17,1.04,5.22,-17.2
CLPS,94.67,1.86,2.4,38.2
CLPT,NA,83.6,-157.26,-4.9
CLRB,NA,1.74,-82.59,NA
CLRO,NA,0.92,-17.45,-1
CLSD,NA,9.22,-181.27,686.7
CLSK,NA,11.56,-117.3,181.2
CLSN,NA,0.94,-88.19,0
CLVS,NA,NA,NA,21
CLWT,NA,0.66,-1.36,-18.9
CLXT,NA,3.83,-72.41,465.4
CMBM,34.07,11.19,8.28,-10
CMCO,23.23,1.9,8.3,-34.6
CMCSA,18.12,2.46,14.19,-11.7
CMCT,29.26,2.76,-0.6,-55.2
CMCTP,NA,NA,-0.6,-55.2
CME,25.2,2.24,8.91,-7.2
CMLS,3.51,0.26,-6.08,-47.8
CMPI,NA,2.7,NA,NA
CMPR,29.07,NA,NA,-36.4
CMPS,NA,NA,NA,NA
CMRX,NA,1.89,-80.63,-2.5
CMTL,57.93,0.74,1.29,-15.1
CNBKA,9.51,1.08,12.08,0.6
CNCE,NA,2.34,-51.22,"12,934.70"
CNDT,NA,0.64,-41.49,-8.6
CNET,NA,3.06,-35.82,-32.6
CNFR,NA,0.58,-16.66,10.4
CNNB,19.5,0.75,3.17,65.5
CNOB,9.08,0.72,8.08,8.7
CNSL,17.44,1.21,6.6,-2.5
CNSP,NA,8.29,-374.22,NA
CNST,NA,2.33,-37.3,NA
CNTG,NA,4.65,-99.71,-13.3
CNTY,155.5,1.67,-52.49,-31.2
CNXN,17.41,1.93,11.65,-25.8
COCP,NA,1.7,-100.68,-6.4
CODA,28.33,1.92,7.52,-19.1
CODX,70,11.79,42.38,"38,942.90"
COFS,15.99,1.09,8.14,134.1
COGT,NA,5.65,NA,-83.2
COHR,130.38,3.2,-38.38,-12
COHU,NA,1.75,-9.95,-4
COKE,42.06,5.99,13.46,-3.6
COLB,12.67,0.82,6.71,-14.9
COLL,NA,4.6,0.16,4
COLM,35.28,3.76,11.05,-39.8
COMM,NA,6.08,-57.25,-18.1
CONE,507.2,3.61,0.82,1.9
CONN,2.79,0.69,-3.32,-8.5
COOP,4.93,1.04,23.33,57.9
CORE,22.43,2.22,10.17,-1.8
CORT,19.15,4.58,30.36,22.6
COST,42.3,9.21,23.67,12.4
COUP,NA,49.33,-24.59,32.4
COWN,5.52,0.61,9.43,46.8
CPAA,NA,NA,NA,NA
CPAH,NA,5.22,-4.5,33.2
CPHC,75.29,1.24,1.61,-83.2
CPIX,NA,0.95,-8.98,1.9
CPLP,5.84,0.34,5.98,33.4
CPRT,39.99,11.11,32.8,-3.1
CPRX,8.18,2.97,47.87,2.7
CPSH,29.17,3.68,12.88,-9.6
CPSI,19.61,2.21,11.85,-10
CPSS,7.12,0.83,9.6,24.1
CPST,NA,5.19,-113.57,-26.2
CPTA,NA,0.24,-29.12,-39.6
CRAI,13.7,1.51,11.53,11.3
CRBP,NA,1.87,-240.39,-99
CRDF,NA,19.26,-99.89,11.2
CREE,NA,3.76,-9.23,-18.1
CREG,NA,0.15,-1.47,NA
CRESY,NA,1.32,1.54,1.5
CREX,25.27,3.73,-143.05,-60.7
CRIS,NA,NA,NA,12.7
CRMT,12.01,2.02,18.48,9.3
CRNC,30.33,2.22,7.18,-3.6
CRNT,NA,1.4,-10.46,-14.5
CRNX,NA,2.76,-36.44,NA
CRON,2.61,1.15,48.76,29.1
CROX,28.71,21.97,91.68,-7.6
CRSA,111.61,1.28,37.7,NA
CRSAU,NA,NA,37.7,NA
CRSP,149.09,7.7,3.06,-86.2
CRSR,56.24,7.33,NA,57.9
CRTD,NA,NA,NA,"4,391.60"
CRTO,9.77,0.74,8.22,-17.1
CRTX,NA,7.29,-33.38,NA
CRUS,23.93,3.14,14.49,1.8
CRVL,39.22,8.17,21.04,-13.7
CRVS,NA,2.26,-64.91,NA
CRWD,NA,40.32,-14.87,84
CRWS,8.75,1.34,15.68,1.6
CSBR,NA,20.8,-34.77,41.7
CSCO,15.14,4.46,31.37,-9.5
CSCW,NA,14.88,"-1,153.38",-19.9
